Project,Allocation,Buy target,Category,Conservative exits,Last edited,Notes,Optimistic exits,Ticker
Polkadot,"6,25-7,5%",DCA bis unter 5$,Layer 1,1.) 11.888$-14.273$ 2.) 21.188$-24.359$,"November 10, 2025 12:07 PM",,1.) 55.124$-70.339$ 2.) 114.438$-134.719$,DOT
🏠 Main Tier,,,,,"November 10, 2025 12:07 PM",,,
Bitcoin,6-7%,DCA bis 84.000$,"Layer 1, PoW",1.) 124488.50$-132072.10$ 2.) 153980.00$-164091.40$,"November 10, 2025 12:07 PM",," ",BTC
Ethereum,3-4%,DCA bis 2.000$,Layer 1,2.) 7713.15$-8954.01$,"November 10, 2025 12:07 PM",,1.) 4637.82$-5971.89$ 2.) 9809.90$-11595.49$,ETH
Realio," 2,86-5%",DCA bis 1$,RWA,-,"November 10, 2025 12:07 PM",Optim. Ziele sind def. realistisch,1.) 3.1475$-3.9921$ 2.)  6.4226$-7.5473$,RIO
🎰 High Risk Tier,,,,,"November 10, 2025 12:07 PM",,,
Injektive," 2,86-5%",DCA bis 20$,Layer 1,-,"November 10, 2025 12:07 PM",Optim. Ziele sind def. realistisch,1.) 54.7088$-70.2134$ 2.)115.1182$-135.8885$,INJ
BitTensor,"6,25-7,5%",DCA bis 350$,"AI, Layer 1, Smart Contract",1.) 491.11$-584.95$ 2.) 854.37$-977.47$,"November 10, 2025 12:07 PM",Nach dem Chart zu urteilen sehr realistisch dass Optim. Ziele erreicht werden," 1.) 777.74$-977.76$ 2.)1558.39$-1825.08$",TAO
"⚖️ Mid Tier Projekte "," ",,,,"November 10, 2025 12:07 PM",,,
Verasity," 0,63-1,25%","DCA 0.008$-0,013$","DeFi, Gaming",1.) 0.015872$-0.019851$ 2.) 0.031254$-0.036494$,"November 10, 2025 12:07 PM",,1.) 0.087326$-0.112291$ 2.) 0.184420$-0.217647$,VRA
NetMind Token,"0,63-1,25%",DCA bis 2.5$,AI,1.) 4.7486$-5.7782$ 2.) 8.7740$-10.1487$,"November 10, 2025 12:07 PM","TA nicht optimal möglich da zu kurze Historie. Coin kann stark überschießen über optimistische Ziele, aber auch komplett tot sein.",1.) 19.6074$-22.6754$ 2.) 31.5336$-35.6294$,NMT
Render," 2,86-5%","DCA bis 4,5$",Computing,-,"November 10, 2025 12:07 PM","kons. Ziele keinen Sinn einzutragen, da optim. bereits nah in Reichweite sindKann Ziele auch überschießen und in 3. Zielzone gehen",1.) 13.836$-17.093$ 2.) 26.523$-30.681$ 3.) 49.191$-56.212$,RENDER
,,,,,"November 10, 2025 12:07 PM",,,
IoTeX,"6,25-7,5%","DCA bis 0,08$",IoT,1.) 0.09271$-0.11583$ 2.) 0.18233$-0.21321$,"November 10, 2025 12:07 PM",,1.) 0.2630$-0.33586$ 2.) 0.54657$-0.64386$,IOTX
Chainlink," ",DCA bis 17$,"DeFi, Layer 1",-,"November 10, 2025 12:07 PM","kons. Ziele keinen Sinn einzutragen, da optim. bereits nah in Reichweite sind
Kann Ziele auch überschießen und in 3. Zielzone gehen",1.) 53.06$-68.16$ 2.)111.85$-132.07$ 3.) 217.03$-249.54$,LINK
Hedera,"6,25-7,5%","DCA bis 0,25$","Layer 1, Smart Contract","1.) 0.40173$-0.50460$
2.) 0.80386$-0.94126$","November 10, 2025 12:07 PM",," 1.) 0.57373$-0.72894$ 2.) 1.18019$-1.38858$",HBAR
Lightlink,"0,63-1,25%","DCA bis 0,06$","Layer 2, Smart Contract",1.) 0.119561$-0.148786$ 2.) 0.233708$-0.273247$,"November 10, 2025 12:07 PM",,1.) 0.305213$-0.381185$ 2.) 0.601674$-0.703592$,LL
Qubic," 2,86-5%",DCA bis 0.000003$,"DeFi, Layer 1",1. 0.000003393$-0.0000041656$ 2.)0.0000063966$-0.0000074296$,"November 10, 2025 12:07 PM","TA nicht optimal möglich da zu kurze Historie. Coin kann stark überschießen über optimistische Ziele, aber auch komplett tot sein.
Zielerreichung der pess. Ziele sehr realistisch. Optim. auch unter der Voraussetzung, dass er im Bullrun performt",1.) 0.00000760610$-0.000009549$ 2.) 0.0000151942$-0.0000177862$,QUBIC
Nicht mehr priorisiert,,,,,"November 10, 2025 12:07 PM",,,
Zephyr,"0,63-1,25%","DCA bis 1,83$","Privacy, Proof of Work",1.) 4.9321$-6.0289$ 2.)  9.2222$-10.6952$,"November 10, 2025 12:07 PM",,1.) 53.3122$-66.2246$ 2.) 106.6211$-125.2204$,ZEPH
Bitcoin Cash,"6,25-7,5%",1.) 197$-250$ 2.) 311$-342$,"Layer 1, Proof of Work, Smart Contract",1.) 715.81$-857.49$ 2.) 1269.16$-1458.96$,"November 10, 2025 12:07 PM",,1.) 4216.43$-5429.95$ 2.) 8945.69$-10561.41$,BCH
KONDUX,"0,63-1,25%","DCA bis 0,04$",DeFi,1.) 0.1229$-0.1535$ 2.) 0.2427$-0.2836$,"November 10, 2025 12:07 PM","TA nicht optimal möglich da zu kurze Historie. Coin kann stark überschießen über optimistische Ziele, aber auch komplett tot sein.",1.) 0.1911$-0.2429$ 2.) 0.3932$-0.4622$,KNDX
,,,,,"November 10, 2025 12:07 PM",,,
Velo," 0,63-1,25%","DCA bis 0,0158$",Layer 1,1.) 0.038879$-0.049722$ 2.) 0.081182$-0.095714$,"November 10, 2025 12:07 PM",,1.) 1.930650$-2.472002$ 2.) 4.036977$-4.759406$,VELO
Alephium," 2,86-5%",DCA bis 1$,Layer 1,1.) 0.4844$-0.5458$ 2.) 0.7225$-0.8040$,"November 10, 2025 12:07 PM",,1.) 3.8406$-4.8946$ 2.) 7.9311$-9.3271$,ALPH
Kaspa,"6,25-7,5%","DCA bis 0,10$","Layer 1, Proof of Work, Smart Contract",-,"November 10, 2025 12:07 PM",Nach dem Chart zu urteilen SEHR unrealistisch dass Optim. Ziele nicht erreicht werdenKönnte sogar 3. Ziel erreichen aber unklar da TA nicht optimal möglich da zu kurze Historie.,1.) 0.207921$-0.267557$ 2.) 0.440348$-0.519862$ 3.) 0.856269$-0.985098$,KAS
,,,,,"November 10, 2025 12:07 PM",,,
HyperLiquid,"6,25-7,5%",DCA bis 20$,"DeFi, Layer 1, Smart Contract",1.) 59.409$-73.624$ 2.) 114.903$-133.846$,"November 10, 2025 12:07 PM","Optimistische Ziele kann man nur schätzen während des Runs, da keine TA möglich ist, da keine Historie",-,HYPE
OctaSpace,"0,63-1,25%","DCA bis 1,3$","AI AGENT, Gaming, IoT, Layer 1, Smart Contract",1.) 0.7108$-0.8317$ 2.) 1.1823$-1.3436$,"November 10, 2025 12:07 PM","TA nicht optimal möglich da zu kurze Historie. Coin kann stark überschießen über optimistische Ziele, aber auch komplett tot sein.",1.) 2.4302$-3.0591$ 2.) 4.8709$-5.7038$,OCTA
🪨 Sicherheitspolster,,,,,"November 10, 2025 12:07 PM",,,
,,,,,"November 10, 2025 12:07 PM",,,
Neurai,"0,63-1,25%","DCA bis 0,001$","Layer 1, Proof of Work, RWA",1.) 0.0018065$-0.0021889$ 2.) 0.0033000$-0.0038173$,"November 10, 2025 12:07 PM",,1.) 0.0075320$-0.0093512$ 2.) 0.0146053$-0.0170223$,XNA
Ondo," 2,86-5%",DCA bis 1$,DeFi,-,"November 10, 2025 12:07 PM","kons. Ziele machen keinen Sinn einzutragen, da optim. bereits nah in Reichweite sind
Kann Ziele auch überschießen und in 3. Zielzone gehen",1.) 2.14724$-2.75277$ 2.) 4.51184$-5.32372$ 3.) 8.74525$-10.05971$,ONDO
VeChain,"6,25-7,5%","DCA bis 0,036$","IoT, Layer 1, Smart Contract",1.) 0.08015$-0.09928$ 2.) 0.15493$-0.18057$,"November 10, 2025 12:07 PM",,1.) 0.27953$-0.3534$ 2.) 0.56939$-0.66862$,VET
Constellation," 2,86-5%","DCA bis 0,1$","Layer 0, Layer 1",1.) 0.098019$-0.120780$ 2.) 0.186041$-0.216052$,"November 10, 2025 12:07 PM",,1.) 0.461977$-0.502461$ 2.) 0.970470$-1.144239$,DAG